,spp,sp_code,CCE_Area
399,Dubautia sherffiana,400,31.3452
400,Dubautia syndetica,401,37.1691
401,Dubautia waialealae,402,37.2681
402,Dubautia waianapanapaensis,403,119.8152
403,Elaeocarpus bifidus,404,982.2564
404,Elaphoglossum aemulum,405,1943.7831
405,Elaphoglossum alatum,406,2448.2349
406,Elaphoglossum crassicaule,407,523.2618
407,Elaphoglossum crassifolium,408,6540.1551
408,Elaphoglossum fauriei,409,137.538
409,Elaphoglossum paleaceum,410,5393.2626
410,Elaphoglossum parvisquameum,411,3479.1534
411,Elaphoglossum pellucidum,412,3740.2632
412,Elaphoglossum wawrae,413,3949.1208
413,Eleocharis calva,414,347.5971
414,Eleocharis obtusa,415,5900.4117
415,Embelia pacifica,416,7265.4372
416,Entada phaseoloides,417,46.3464
417,Eragrostis atropioides,418,5539.3749
418,Eragrostis deflexa,419,1697.6673
419,Eragrostis fosbergii,420,82.8684
420,Eragrostis grandis,421,9715.9824
421,Eragrostis leptophylla,422,4682.9826
422,Eragrostis monticola,423,551.2716
423,Eragrostis paupera,424,24.2604
424,Eragrostis variabilis,425,7674.3864
425,Erythrina sandwicensis,426,6200.658
426,Eugenia koolauensis,427,509.5125
427,Eugenia reinwardtiana,428,1620.2052
428,Euphorbia haeleeleana,429,364.4631
429,Eurya sandwicensis,430,3494.0259
430,Exocarpos gaudichaudii,431,6670.0755
431,Exocarpos luteolus,432,355.4982
432,Exocarpos menziesii,433,2438.1999
433,Festuca hawaiiensis,434,727.8336
434,Fimbristylis cymosa,435,5876.4951
435,Fimbristylis dichotoma,436,10495.4175
436,Fimbristylis hawaiiensis,437,1334.8908
437,Flueggea neowawraea,438,1573.5537
438,Fragaria chiloensis,439,1381.7403
439,Freycinetia arborea,440,7826.157
440,Gahnia aspera,441,320.2038
441,Gahnia beecheyi,442,2145.4155
442,Gahnia lanaiensis,443,1.0332
443,Gahnia vitiensis,444,191.4147
444,Gardenia brighamii,445,754.9335
445,Gardenia mannii,446,373.2435
446,Gardenia remyi,447,2801.3292
447,Geranium arboreum,448,113.5269
448,Geranium cuneatum,449,3410.199
449,Geranium hanaense,450,1.6317
450,Geranium hillebrandii,451,23.0121
451,Geranium kauaiense,452,22.3587
452,Geranium multiflorum,453,193.2606
453,Gonocormus minutus,454,4377.2247
454,Gossypium tomentosum,455,914.0391
455,Gouania hillebrandii,456,929.502
456,Gouania meyenii,457,109.3905
457,Gouania vitifolia,458,340.3458
458,Grammitis baldwinii,459,63.6651
459,Grammitis forbesiana,460,638.2098
460,Grammitis hookeri,461,4113.621
461,Grammitis tenella,462,4478.0895
462,Gunnera kauaiensis,463,56.4867
463,Gunnera petaloidea,464,464.5836
464,Haplopteris elongata,465,5201.9964
465,Haplostachys haplostachya,466,1929.168
466,Haplostachys linearifolia,467,678.6666
467,Kadua acuminata,468,4127.4756
468,Kadua centranthoides,469,6296.2389
469,Kadua cookiana,470,164.6766
470,Kadua coriacea,471,340.1244
471,Kadua degeneri,472,31.3263
472,Kadua elatior,473,1366.4817
473,Kadua fluviatilis,474,805.1562
474,Kadua flynnii,475,163.4886
475,Kadua foggiana,476,260.1684
476,Kadua formosa,477,163.0737
477,Kadua fosbergii,478,43.5591
478,Kadua axillaris,479,5263.659
479,Kadua knudsenii,480,160.3107
480,Kadua littoralis,481,19.8837
481,Kadua laxiflora,482,220.9644
482,Kadua parvula,483,27.3294
483,Kadua cordata,484,1629.5643
484,Kadua st.-johnii,485,50.8014
485,Kadua affinis,486,7667.5725
486,Kadua tryblium,487,220.3569
487,Heliotropium anomalum,488,381.9933
488,Heliotropium curassavicum,489,562.6845
489,Hesperocnide sandwicensis,490,1480.6863
490,Hesperomannia arborescens,491,586.6299
491,Hesperomannia arbuscula,492,214.4313
492,Hesperomannia lydgatei,493,174.9348
493,Heteropogon contortus,494,6666.8301
494,Hibiscadelphus distans,495,108.1791
495,Hibiscadelphus hualalaiensis,496,12.5865
496,Hibiscadelphus woodii,497,3.0681
497,Hibiscus arnottianus,498,821.0538
498,Hibiscus brackenridgei,499,1735.7796
499,Hibiscus clayi,500,176.1912
500,Hibiscus furcellatus,501,1372.3416
501,Hibiscus kokio,502,2834.5869
502,Hibiscus waimeae,503,492.1407
503,Hillebrandia sandwicensis,504,772.0011
504,Huperzia erosa,505,1195.8867
505,Huperzia erubescens,506,916.4862
506,Huperzia filiformis,507,4023.1683
507,Huperzia haleakalae,508,55.5615
508,Huperzia mannii,509,388.3185
509,Huperzia nutans,510,152.0226
510,Huperzia phyllantha,511,4291.7265
511,Huperzia serrata,512,2102.8887
512,Huperzia stemmermanniae,513,129.7962
513,Huperzia subintegra,514,598.8447
514,Hypolepis hawaiiensis,515,2014.8804
515,Ilex anomala,516,8507.5272
516,Ipomoea imperati,517,206.9667
517,Ipomoea indica,518,8232.4314
518,Ipomoea littoralis,519,129.8961
519,Ipomoea pes-caprae,520,750.744
520,Ipomoea tuboides,521,4855.554
521,Isachne distichophylla,522,4736.8854
522,Isachne pallens,523,472.7709
523,Ischaemum byrone,524,123.9309
524,Isodendrion hosakae,525,74.6649
525,Isodendrion laurifolium,526,136.2114
526,Isodendrion longifolium,527,651.1788
527,Isodendrion pyrifolium,528,295.4619
528,Isoetes hawaiiensis,529,190.6335
529,Jacquemontia ovalifolia,530,2867.643
530,Joinvillea ascendens,531,3292.4133
531,Kanaloa kahoolawensis,532,3.2166
532,Keysseria erici,533,46.6173
533,Keysseria helenae,534,32.1201
534,Keysseria maviensis,535,246.1797
535,Kokia drynarioides,536,111.9978
536,Kokia kauaiensis,537,89.3709
537,Korthalsella complanata,538,8644.1328
538,Korthalsella cylindrica,539,6083.1126
539,Korthalsella degeneri,540,17.055
540,Korthalsella latissima,541,804.7827
541,Korthalsella platycaula,542,932.5674
542,Korthalsella remyana,543,3328.2036
543,Labordia cyrtandrae,544,296.6283
544,Labordia degeneri,545,93.0735
545,Labordia fagraeoidea,546,77.4666
546,Labordia hedyosmifolia,547,3685.4235
547,Labordia helleri,548,570.4929
548,Labordia hirtella,549,3918.5244
549,Labordia hosakana,550,6.7203
550,Labordia kaalae,551,69.5718
551,Labordia lydgatei,552,74.5596
552,Labordia pumila,553,46.3734
553,Labordia sessilis,554,38.7792
554,Labordia tinifolia,555,3109.0509
555,Labordia triflora,556,4.284
556,Labordia venosa,557,128.5317
557,Labordia waialealae,558,183.9294
558,Labordia waiolani,559,383.4207
559,Lellingeria saffordii,560,2232.279
560,Lepechinia hastata,561,214.4259
561,Lepidium arbuscula,562,176.4639
562,Lepidium bidentatum,563,1710.4869
563,Lepidium serra,564,512.2188
564,Lepisorus thunbergianus,565,10001.1987
565,Leptecophylla tameiameiae,566,13231.2132
566,Lindsaea repens,567,1203.5124
567,Liparis hawaiensis,568,6109.812
568,Lipochaeta connata,569,1718.2575
569,Lipochaeta degeneri,570,22.5162
570,Lipochaeta heterophylla,571,1787.1138
571,Lipochaeta lobata,572,1604.3517
572,Lipochaeta rockii,573,1133.0559
573,Lipochaeta succulenta,574,88.5114
574,Lobelia dunbarii,575,34.7589
575,Lobelia gaudichaudii,576,22.4019
576,Lobelia gloria-montis,577,95.7042
577,Lobelia grayana,578,195.9138
578,Lobelia hillebrandii,579,706.8321
579,Lobelia hypoleuca,580,1256.4495
580,Lobelia kauaensis,581,116.4357
581,Lobelia niihauensis,582,687.2265
582,Lobelia oahuensis,583,22.1013
583,Lobelia villosa,584,49.5387
584,Lobelia yuccoides,585,216.5355
585,Luzula hawaiiensis,586,7415.7903
586,Lycium sandwicense,587,452.2023
587,Lycopodiella cernua,588,5968.7649
588,Lycopodium venustulum,589,2031.5988
589,Lysimachia daphnoides,590,191.3499
590,Lysimachia filifolia,591,395.0019
591,Lysimachia forbesii,592,15.3603
592,Lysimachia glutinosa,593,64.6911
593,Lysimachia hillebrandii,594,1593.6228
594,Lysimachia kalalauensis,595,151.4331
595,Lysimachia lydgatei,596,32.0409
596,Lysimachia mauritiana,597,177.8283
597,Lysimachia maxima,598,29.3094
598,Lysimachia remyi,599,870.1263
599,Lysimachia scopulensis,600,5.6574
600,Lysimachia venosa,601,32.2641
601,Machaerina angustifolia,602,8841.1914
602,Machaerina mariscoides,603,6336.8136
603,Marattia douglasii,604,6431.6961
604,Marsilea villosa,605,378.6552
605,Hymenophyllum recurvum,606,4547.3841
606,Melanthera fauriei,607,88.9974
607,Melanthera integrifolia,608,1241.5203
608,Melanthera kamolensis,609,89.5005
609,Melanthera lavarum,610,3496.3686
610,Melanthera micrantha,611,100.5858
611,Melanthera remyi,612,127.4904
612,Melanthera subcordata,613,4192.0866
613,Melanthera tenuifolia,614,228.1797
614,Melanthera tenuis,615,82.845
615,Melanthera venosa,616,389.007
616,Melanthera waimeaensis,617,2.5758
617,Melicope adscendens,618,64.3338
618,Melicope anisata,619,363.2427
619,Melicope balloui,620,142.3386
620,Melicope barbigera,621,146.2212
621,Melicope christophersenii,622,38.1654
622,Melicope cinerea,623,237.8052
623,Melicope clusiifolia,624,6806.5812
624,Melicope cruciata,625,52.1046
625,Melicope degeneri,626,77.7069
626,Melicope elliptica,627,629.9127
627,Melicope feddei,628,298.2969
628,Melicope haleakalae,629,70.6086
629,Melicope haupuensis,630,151.884
630,Melicope hawaiensis,631,2504.3238
631,Melicope hiiakae,632,139.8915
632,Melicope hosakae,633,116.1603
633,Melicope kaalaensis,634,30.8844
634,Melicope kavaiensis,635,81.3465
635,Melicope knudsenii,636,448.2774
636,Melicope lydgatei,637,130.5783
637,Melicope macropus,638,96.4539
638,Melicope makahae,639,25.6896
639,Melicope molokaiensis,640,505.2708
640,Melicope mucronulata,641,177.804
641,Melicope munroi,642,12.3759
642,Melicope nealae,643,2.1798
643,Melicope oahuensis,644,240.4116
644,Melicope orbicularis,645,583.8849
645,Melicope ovalis,646,87.0588
646,Melicope ovata,647,376.2756
647,Melicope pallida,648,249.2127
648,Melicope paniculata,649,57.9906
649,Melicope peduncularis,650,1553.562
650,Melicope pseudoanisata,651,2077.7571
651,Melicope puberula,652,121.5459
652,Melicope quadrangularis,653,55.7532
653,Melicope radiata,654,4187.8746
654,Melicope reflexa,655,44.6526
655,Melicope rotundifolia,656,197.2953
656,Melicope saint-johnii,657,153.0945
657,Melicope sandwicensis,658,79.9236
658,Melicope sessilis,659,264.528
659,Melicope volcanica,660,4373.9271
660,Melicope waialealae,661,119.1951
661,Melicope wawraeana,662,505.2789
662,Metrosideros macropus,663,319.3227
663,Metrosideros polymorpha,664,14002.3332
664,Metrosideros rugosa,665,43.8183
665,Metrosideros tremuloides,666,385.3215
666,Metrosideros waialealae,667,461.6712
667,Microlepia speluncae,668,1279.0926
668,Microlepia strigosa,669,10493.5176
669,Microsorum spectrum,670,3193.9641
670,Morelotia gahniiformis,671,7993.5102
671,Morinda trimera,672,1202.1489
672,Mucuna gigantea,673,2220.1542
673,Mucuna sloanei,674,717.9102
674,Munroidendron racemosum,675,370.0611
675,Myoporum sandwicense,676,15931.6938
676,Myrsine alyxifolia,677,61.3071
677,Myrsine degeneri,678,15.318
678,Myrsine denticulata,679,90.1206
679,Myrsine emarginata,680,425.0025
680,Myrsine fernseei,681,210.3147
681,Myrsine fosbergii,682,939.0942
682,Myrsine helleri,683,115.5681
683,Myrsine juddii,684,26.2602
684,Myrsine kauaiensis,685,67.4199
685,Myrsine knudsenii,686,27.9369
686,Myrsine lanaiensis,687,6088.1067
687,Myrsine lessertiana,688,9049.8465
688,Myrsine linearifolia,689,285.4494
689,Myrsine mezii,690,11.484
690,Myrsine petiolata,691,409.743
691,Myrsine pukooensis,692,389.1627
692,Myrsine punctata,693,271.1871
693,Myrsine sandwicensis,694,5779.4652
